,titulo,num_vistas,fecha
0,Automate the Boring Stuff with Python Programming,71626,2020-04-01
1,Learn Python Programming Masterclass,59395,2020-10-09
2,2020 Complete Python Bootcamp: From Zero to Hero in Python,320394,2020-06-26
3,Python for Data Science and Machine Learning Bootcamp,88090,2020-05-03
4,The Python Mega Course: Build 10 Real World Applications,43068,2020-10-09
5,Python for Beginners: Learn Python Programming (Python 3),10699,2020-10-01
6,Machine Learning A-Z™: Hands-On Python & R In Data Science,132927,2020-10-05
7,The Python Bible™ | Everything You Need to Program in Python,29688,2020-01-20
8,The Modern Python 3 Bootcamp,20343,2020-08-13
9,"Machine Learning, Data Science and Deep Learning with Python",22720,2020-09-09
10,Complete Python Developer in 2020: Zero to Mastery,20455,2020-10-07
11,Python for Absolute Beginners,17554,2020-08-18
12,Python for beginners,16353,2020-10-07
13,The Complete Python Course | Learn Python by Doing,11127,2020-09-29
14,Python for Finance: Investment Fundamentals & Data Analytics,18098,2020-06-24
15,Python and Django Full Stack Web Developer Bootcamp,33915,2019-09-04
16,Programming with Python : HandsOn Introduction for Beginners,10108,2019-11-11
17,The Complete Python 3 Course: Beginner to Advanced!,19271,2019-11-25
18,Deep Learning Prerequisites: The Numpy Stack in Python (V2+),18408,2020-09-16
19,REST APIs with Flask and Python,11213,2020-08-28
20,[BESTSELLER]™ Python Data Analysis & Visualization Bootcamp,3018,2020-05-06
21,Learn to Code with Python,2546,2020-09-03
22,Python for Beginners - Beginner Friendly Python in 100 Steps,2240,2020-07-08
23,Complete Python 3 Masterclass Journey,2442,2019-09-04
24,Python Beyond the Basics - Object-Oriented Programming,2625,2017-01-06
25,Python - The Practical Guide,3507,2020-07-06
26,PYTHON - A to Z Full Course for Beginners,1193,2020-10-07
27,Learn Python: The Complete Python Programming Course,1623,2015-09-07
28,Learn to Code with Python 3!,2777,2019-06-30
29,Python Programming for Beginners in Data Science,2563,2020-08-15
30,Python for Programmers,1401,2018-11-10
31,Python Programming Beginners Tutorial : Python 3 Programming,1799,2020-01-11
32,Python 3 For Beginners in 2020!,1329,2019-12-15
33,Complete Python Programming Masterclass Beginner to Advanced,1296,2018-10-18
34,Complete Data Science Training with Python for Data Analysis,1451,2019-07-30
35,The Ultimate Python Programming Tutorial ,1903,2017-01-09
36,Scrapy: Powerful Web Scraping & Crawling with Python,2255,2020-01-14
37,Python for Beginners: Learn Python Hands-on (Python 3),836,2019-08-11
38,Data Processing with Python,1455,2019-10-10
39,Python for Beginners: Complete Python Programming,663,2019-03-13
40,Python for Beginners,4064,2019-11-27
41,Python 3: Deep Dive (Part 1 - Functional),4731,2020-08-21
42,Complete Python Web Course: Build 8 Python Web Apps,4306,2020-07-14
43,Teach Your Kids to Code: Learn Python Programming at Any Age,5894,2018-09-18
44,Python Coding MADE EASY : A Python Coding Course in Python 3,2437,2020-07-20
45,Python 3 Network Programming - Build 5 Network Applications,4085,2020-09-20
46,Python Network Programming for Network Engineers (Python 3),4672,2020-08-25
47,Python for beginners - Learn all the basics of python,3754,2020-05-08
48,The Complete Python & PostgreSQL Developer Course,4432,2020-04-03
49,Selenium WebDriver With Python 3.x - Novice To Ninja,4773,2020-08-17
50,Django 2.2 & Python | The Ultimate Web Development Bootcamp,4855,2020-09-07
51,Python and Flask Bootcamp: Create Websites using Flask!,4601,2020-05-26
52,Deep Learning Prerequisites: Linear Regression in Python,4483,2020-07-24
53,Selenium Webdriver with PYTHON from Scratch + Frameworks,4289,2020-10-07
54,Deep Learning: Convolutional Neural Networks in Python,3153,2020-08-29
55,Cluster Analysis and Unsupervised Machine Learning in Python,3905,2020-09-29
56,Bayesian Machine Learning in Python: A/B Testing,3940,2020-09-28
57,Python for Computer Vision with OpenCV and Deep Learning,4799,2019-09-04
58,Python Django Dev To Deployment,3755,2018-10-07
59,Advanced AI: Deep Reinforcement Learning in Python,3520,2020-07-24
60,Complete Python programming-Python Basics to Advanced Python,1386,2020-05-25
61,Python for Time Series Data Analysis,3629,2020-07-15
62,The Complete Python Programmer Bootcamp 2020,2581,2020-07-16
63,[BESTSELLER]™ Python Data Analysis & Visualization Bootcamp,3018,2020-05-06
64,Deep Learning Prerequisites: Logistic Regression in Python,3052,2020-07-24
65,Learn to Code with Python,2546,2020-09-03
66,Python for Beginners - Beginner Friendly Python in 100 Steps,2240,2020-07-08
67,Complete Python 3 Masterclass Journey,2442,2019-09-04
68,Learn Python: Python for Beginners,2490,2018-11-05
69,Modern Deep Learning in Python,2380,2020-08-08
70,Recommender Systems and Deep Learning in Python,2150,2020-08-04
71,Deep Learning: Recurrent Neural Networks in Python,2858,2020-08-29
72,Python eCommerce | Build a Django eCommerce Web Application,2738,2017-11-17
73,Python Beyond the Basics - Object-Oriented Programming,2625,2017-01-06
74,Algorithms and Data Structures in Python,2677,2020-08-10
75,Python - The Practical Guide,3507,2020-07-06
76,Automated Software Testing with Python,2765,2019-11-12
77,PYTHON - A to Z Full Course for Beginners,1193,2020-10-07
78,Learn Complete Python In Simple Way,2175,2020-03-01
79,"Python + SQL + Tableau: Integrating Python, SQL, and Tableau",2076,2020-08-04
