Quito, Pichincha, 10, 22:18
Ibarra, Imbabura, 10, 22:18
Tulcán, Carchi, 4, 22:18
Tulcán, Carchi, 4, 22:21
Ibarra, Imbabura, 10, 22:21
Quito, Pichincha, 10, 22:21
Tulcán, Carchi, 4, 22:22
Quito, Pichincha, 10, 22:22
Ibarra, Imbabura, 10, 22:22
Ibarra, Imbabura, 10, 22:22
Quito, Pichincha, 10, 22:22
Tulcán, Carchi, 4, 22:22
Tulcán, Carchi, 4, 22:22
Quito, Pichincha, 10, 22:22
Ibarra, Imbabura, 10, 22:22
Quito, Pichincha, 10, 22:23
Tulcán, Carchi, 4, 22:23
Ibarra, Imbabura, 10, 22:23
Ibarra, Imbabura, 10, 22:23
Quito, Pichincha, 10, 22:23
Tulcán, Carchi, 4, 22:23
Ibarra, Imbabura, 10, 22:23
Tulcán, Carchi, 4, 22:23
Quito, Pichincha, 10, 22:23
Quito, Pichincha, 10, 22:24
Tulcán, Carchi, 4, 22:24
Ibarra, Imbabura, 10, 22:24
Quito, Pichincha, 10, 22:47
Tulcán, Carchi, 4, 22:47
Ibarra, Imbabura, 10, 22:47
Ibarra, Imbabura, 10, 22:47
Quito, Pichincha, 10, 22:47
Tulcán, Carchi, 4, 22:47
Tulcán, Carchi, 4, 22:47
Quito, Pichincha, 10, 22:47
Ibarra, Imbabura, 10, 22:47
